Line,Smell,Number of Parameters,Threshold,File
192,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/server/reactive/DefaultServerHttpRequestBuilder.java
86,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/server/reactive/ServletServerHttpRequest.java
57,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/ResponseCookie.java
142,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/test/java/org/springframework/web/socket/sockjs/client/XhrTransportTests.java
378,long parameters,9,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/config/MessageBrokerBeanDefinitionParser.java
551,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/config/MessageBrokerBeanDefinitionParser.java
636,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/config/MessageBrokerBeanDefinitionParser.java
64,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/server/RequestUpgradeStrategy.java
94,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/server/jetty/Jetty10RequestUpgradeStrategy.java
210,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/server/jetty/JettyRequestUpgradeStrategy.java
107,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/server/standard/AbstractStandardUpgradeStrategy.java
170,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/server/standard/AbstractTyrusRequestUpgradeStrategy.java
135,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/client/UndertowXhrTransport.java
381,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/client/UndertowXhrTransport.java
110,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/client/JettyXhrTransport.java
78,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/client/DefaultTransportRequest.java
112,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/client/AbstractXhrTransport.java
99,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/client/RestTemplateXhrTransport.java
165,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/client/jetty/JettyWebSocketClient.java
129,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/client/standard/StandardWebSocketClient.java
123,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/client/AbstractWebSocketClient.java
54,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-test/src/test/java/org/springframework/test/context/junit4/JUnitTestingUtils.java
79,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-test/src/test/java/org/springframework/test/context/junit4/JUnitTestingUtils.java
131,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-test/src/test/java/org/springframework/test/context/junit4/JUnitTestingUtils.java
71,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-test/src/test/java/org/springframework/test/context/support/AbstractContextConfigurationUtilsTests.java
92,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-test/src/test/java/org/springframework/test/context/support/AbstractContextConfigurationUtilsTests.java
46,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-test/src/test/java/org/springframework/test/web/servlet/StubMvcResult.java
88,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/context/junit/jupiter/AbstractExpressionEvaluatingCondition.java
100,long parameters,11,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/context/web/WebMergedContextConfiguration.java
136,long parameters,12,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/context/web/WebMergedContextConfiguration.java
125,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/context/ContextConfigurationAttributes.java
150,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/context/ContextConfigurationAttributes.java
131,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/context/MergedContextConfiguration.java
152,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/context/MergedContextConfiguration.java
197,long parameters,10,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/context/MergedContextConfiguration.java
234,long parameters,11,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/context/MergedContextConfiguration.java
52,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/web/servlet/MockMvcBuilderSupport.java
63,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/web/servlet/MockMvcBuilderSupport.java
94,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/web/reactive/server/DefaultWebTestClient.java
99,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/test/web/reactive/server/ExchangeResult.java
104,long parameters,15,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/mock/web/reactive/function/server/MockServerRequest.java
130,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/mock/web/MockPageContext.java
76,long parameters,9,5,../input_projects/java_projects/spring-framework/spring-test/src/main/java/org/springframework/mock/http/server/reactive/MockServerHttpRequest.java
95,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-context/src/test/java/org/springframework/scheduling/concurrent/ThreadPoolExecutorFactoryBeanTests.java
210,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-context/src/test/java/org/springframework/format/datetime/DateFormatterTests.java
154,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-context/src/main/java/org/springframework/context/annotation/ConfigurationClassParser.java
108,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-context/src/main/java/org/springframework/context/annotation/ConfigurationClassBeanDefinitionReader.java
462,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-context/src/main/java/org/springframework/context/support/ResourceBundleMessageSource.java
49,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-context/src/main/java/org/springframework/context/event/EventExpressionEvaluator.java
82,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-context/src/main/java/org/springframework/cache/interceptor/CacheOperationExpressionEvaluator.java
65,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-context/src/main/java/org/springframework/scheduling/support/CronExpression.java
215,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-context/src/main/java/org/springframework/scheduling/support/CronSequenceGenerator.java
246,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-context/src/main/java/org/springframework/scheduling/support/CronSequenceGenerator.java
190,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-context/src/main/java/org/springframework/scheduling/concurrent/ThreadPoolExecutorFactoryBean.java
482,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-context/src/main/java/org/springframework/validation/beanvalidation/SpringValidatorAdapter.java
67,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-context/src/main/java/org/springframework/validation/FieldError.java
394,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/UriTemplateServletAnnotationControllerHandlerMethodTests.java
422,long parameters,21,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/RequestMappingHandlerAdapterIntegrationTests.java
470,long parameters,24,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/RequestMappingHandlerAdapterIntegrationTests.java
516,long parameters,21,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/RequestMappingHandlerAdapterIntegrationTests.java
651,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/ExceptionHandlerExceptionResolverTests.java
627,long parameters,18,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/RequestPartMethodArgumentResolverTests.java
263,long parameters,12,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/ServletRequestMethodArgumentResolverTests.java
156,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/RequestResponseBodyAdviceChainTests.java
174,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/RequestResponseBodyAdviceChainTests.java
134,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/condition/PatternsRequestCondition.java
63,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/ResponseBodyAdvice.java
44,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/AbstractMappingJacksonResponseBodyAdvice.java
110,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/RequestResponseBodyAdviceChain.java
133,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/RequestResponseBodyAdviceChain.java
491,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/RequestMappingInfo.java
116,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/RequestMappingInfo.java
138,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/RequestMappingInfo.java
157,long parameters,10,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/RequestMappingInfo.java
308,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/config/ResourcesBeanDefinitionParser.java
219,long parameters,10,5,../input_projects/java_projects/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/function/DefaultServerRequestBuilder.java
844,long parameters,9,5,../input_projects/java_projects/spring-framework/spring-beans/src/test/java/org/springframework/beans/BeanUtilsTests.java
3911,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-beans/src/test/java/org/springframework/beans/factory/annotation/AutowiredAnnotationBeanPostProcessorTests.java
61,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/xml/XmlReaderContext.java
713,long parameters,9,5,../input_projects/java_projects/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/support/ConstructorResolver.java
894,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/support/ConstructorResolver.java
173,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/support/DisposableBeanAdapter.java
