Line,Smell,Number of Lines,Threshold,File
53821,long method,142,100,../input_projects/js_projects/moment/min/tests.js
54144,long method,1000,100,../input_projects/js_projects/moment/min/tests.js
54838,long method,152,100,../input_projects/js_projects/moment/min/tests.js
55153,long method,794,100,../input_projects/js_projects/moment/min/tests.js
55648,long method,142,100,../input_projects/js_projects/moment/min/tests.js
55956,long method,866,100,../input_projects/js_projects/moment/min/tests.js
56488,long method,162,100,../input_projects/js_projects/moment/min/tests.js
56831,long method,814,100,../input_projects/js_projects/moment/min/tests.js
57348,long method,142,100,../input_projects/js_projects/moment/min/tests.js
57654,long method,866,100,../input_projects/js_projects/moment/min/tests.js
58186,long method,142,100,../input_projects/js_projects/moment/min/tests.js
58529,long method,978,100,../input_projects/js_projects/moment/min/tests.js
59161,long method,142,100,../input_projects/js_projects/moment/min/tests.js
59516,long method,805,100,../input_projects/js_projects/moment/min/tests.js
60011,long method,142,100,../input_projects/js_projects/moment/min/tests.js
60330,long method,839,100,../input_projects/js_projects/moment/min/tests.js
60873,long method,143,100,../input_projects/js_projects/moment/min/tests.js
61178,long method,832,100,../input_projects/js_projects/moment/min/tests.js
61710,long method,142,100,../input_projects/js_projects/moment/min/tests.js
62019,long method,858,100,../input_projects/js_projects/moment/min/tests.js
62553,long method,142,100,../input_projects/js_projects/moment/min/tests.js
62886,long method,880,100,../input_projects/js_projects/moment/min/tests.js
63418,long method,142,100,../input_projects/js_projects/moment/min/tests.js
63775,long method,883,100,../input_projects/js_projects/moment/min/tests.js
64359,long method,142,100,../input_projects/js_projects/moment/min/tests.js
64667,long method,966,100,../input_projects/js_projects/moment/min/tests.js
65303,long method,143,100,../input_projects/js_projects/moment/min/tests.js
65642,long method,850,100,../input_projects/js_projects/moment/min/tests.js
66175,long method,142,100,../input_projects/js_projects/moment/min/tests.js
66501,long method,832,100,../input_projects/js_projects/moment/min/tests.js
67033,long method,142,100,../input_projects/js_projects/moment/min/tests.js
67342,long method,819,100,../input_projects/js_projects/moment/min/tests.js
67838,long method,142,100,../input_projects/js_projects/moment/min/tests.js
68170,long method,832,100,../input_projects/js_projects/moment/min/tests.js
68702,long method,142,100,../input_projects/js_projects/moment/min/tests.js
69011,long method,892,100,../input_projects/js_projects/moment/min/tests.js
69561,long method,177,100,../input_projects/js_projects/moment/min/tests.js
69912,long method,954,100,../input_projects/js_projects/moment/min/tests.js
70445,long method,264,100,../input_projects/js_projects/moment/min/tests.js
70875,long method,868,100,../input_projects/js_projects/moment/min/tests.js
71409,long method,142,100,../input_projects/js_projects/moment/min/tests.js
71752,long method,837,100,../input_projects/js_projects/moment/min/tests.js
72285,long method,142,100,../input_projects/js_projects/moment/min/tests.js
72598,long method,847,100,../input_projects/js_projects/moment/min/tests.js
73131,long method,142,100,../input_projects/js_projects/moment/min/tests.js
73454,long method,884,100,../input_projects/js_projects/moment/min/tests.js
73986,long method,142,100,../input_projects/js_projects/moment/min/tests.js
74347,long method,942,100,../input_projects/js_projects/moment/min/tests.js
74893,long method,142,100,../input_projects/js_projects/moment/min/tests.js
75050,long method,102,100,../input_projects/js_projects/moment/min/tests.js
75298,long method,884,100,../input_projects/js_projects/moment/min/tests.js
75830,long method,142,100,../input_projects/js_projects/moment/min/tests.js
76191,long method,841,100,../input_projects/js_projects/moment/min/tests.js
76728,long method,143,100,../input_projects/js_projects/moment/min/tests.js
77041,long method,841,100,../input_projects/js_projects/moment/min/tests.js
77578,long method,143,100,../input_projects/js_projects/moment/min/tests.js
77891,long method,833,100,../input_projects/js_projects/moment/min/tests.js
78424,long method,142,100,../input_projects/js_projects/moment/min/tests.js
78733,long method,1003,100,../input_projects/js_projects/moment/min/tests.js
79268,long method,282,100,../input_projects/js_projects/moment/min/tests.js
79745,long method,833,100,../input_projects/js_projects/moment/min/tests.js
80279,long method,142,100,../input_projects/js_projects/moment/min/tests.js
80587,long method,871,100,../input_projects/js_projects/moment/min/tests.js
81119,long method,142,100,../input_projects/js_projects/moment/min/tests.js
81467,long method,858,100,../input_projects/js_projects/moment/min/tests.js
82003,long method,142,100,../input_projects/js_projects/moment/min/tests.js
82334,long method,858,100,../input_projects/js_projects/moment/min/tests.js
82870,long method,142,100,../input_projects/js_projects/moment/min/tests.js
83201,long method,832,100,../input_projects/js_projects/moment/min/tests.js
83734,long method,142,100,../input_projects/js_projects/moment/min/tests.js
84042,long method,827,100,../input_projects/js_projects/moment/min/tests.js
84559,long method,142,100,../input_projects/js_projects/moment/min/tests.js
84878,long method,1156,100,../input_projects/js_projects/moment/min/tests.js
85410,long method,142,100,../input_projects/js_projects/moment/min/tests.js
86043,long method,945,100,../input_projects/js_projects/moment/min/tests.js
86630,long method,162,100,../input_projects/js_projects/moment/min/tests.js
86997,long method,859,100,../input_projects/js_projects/moment/min/tests.js
87531,long method,142,100,../input_projects/js_projects/moment/min/tests.js
87865,long method,836,100,../input_projects/js_projects/moment/min/tests.js
88398,long method,142,100,../input_projects/js_projects/moment/min/tests.js
88710,long method,872,100,../input_projects/js_projects/moment/min/tests.js
89243,long method,182,100,../input_projects/js_projects/moment/min/tests.js
89591,long method,1101,100,../input_projects/js_projects/moment/min/tests.js
90277,long method,157,100,../input_projects/js_projects/moment/min/tests.js
90701,long method,818,100,../input_projects/js_projects/moment/min/tests.js
91224,long method,142,100,../input_projects/js_projects/moment/min/tests.js
91528,long method,843,100,../input_projects/js_projects/moment/min/tests.js
92065,long method,143,100,../input_projects/js_projects/moment/min/tests.js
92380,long method,809,100,../input_projects/js_projects/moment/min/tests.js
92917,long method,142,100,../input_projects/js_projects/moment/min/tests.js
93198,long method,1027,100,../input_projects/js_projects/moment/min/tests.js
93734,long method,142,100,../input_projects/js_projects/moment/min/tests.js
94234,long method,1203,100,../input_projects/js_projects/moment/min/tests.js
94770,long method,272,100,../input_projects/js_projects/moment/min/tests.js
95057,long method,211,100,../input_projects/js_projects/moment/min/tests.js
95446,long method,844,100,../input_projects/js_projects/moment/min/tests.js
95988,long method,143,100,../input_projects/js_projects/moment/min/tests.js
96299,long method,865,100,../input_projects/js_projects/moment/min/tests.js
96833,long method,142,100,../input_projects/js_projects/moment/min/tests.js
97173,long method,865,100,../input_projects/js_projects/moment/min/tests.js
97707,long method,142,100,../input_projects/js_projects/moment/min/tests.js
98047,long method,897,100,../input_projects/js_projects/moment/min/tests.js
98636,long method,142,100,../input_projects/js_projects/moment/min/tests.js
98953,long method,828,100,../input_projects/js_projects/moment/min/tests.js
99486,long method,142,100,../input_projects/js_projects/moment/min/tests.js
99790,long method,836,100,../input_projects/js_projects/moment/min/tests.js
100323,long method,142,100,../input_projects/js_projects/moment/min/tests.js
100635,long method,839,100,../input_projects/js_projects/moment/min/tests.js
101168,long method,142,100,../input_projects/js_projects/moment/min/tests.js
101483,long method,884,100,../input_projects/js_projects/moment/min/tests.js
102015,long method,142,100,../input_projects/js_projects/moment/min/tests.js
102376,long method,833,100,../input_projects/js_projects/moment/min/tests.js
102909,long method,142,100,../input_projects/js_projects/moment/min/tests.js
103218,long method,849,100,../input_projects/js_projects/moment/min/tests.js
103767,long method,142,100,../input_projects/js_projects/moment/min/tests.js
104076,long method,795,100,../input_projects/js_projects/moment/min/tests.js
104572,long method,142,100,../input_projects/js_projects/moment/min/tests.js
104880,long method,832,100,../input_projects/js_projects/moment/min/tests.js
105413,long method,142,100,../input_projects/js_projects/moment/min/tests.js
105721,long method,835,100,../input_projects/js_projects/moment/min/tests.js
106255,long method,142,100,../input_projects/js_projects/moment/min/tests.js
106565,long method,871,100,../input_projects/js_projects/moment/min/tests.js
107099,long method,162,100,../input_projects/js_projects/moment/min/tests.js
107445,long method,848,100,../input_projects/js_projects/moment/min/tests.js
107994,long method,142,100,../input_projects/js_projects/moment/min/tests.js
