Line,Smell,Number of Parameters,Threshold,File
815,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/doctest.py
928,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/doctest.py
991,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/doctest.py
1794,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/doctest.py
1898,long parameters,12,5,../input_projects/multi_projects/jython/lib-python/2.7/doctest.py
2023,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/doctest.py
2155,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/doctest.py
2420,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/doctest.py
765,long parameters,11,5,../input_projects/multi_projects/jython/lib-python/2.7/argparse.py
807,long parameters,11,5,../input_projects/multi_projects/jython/lib-python/2.7/argparse.py
842,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/argparse.py
865,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/argparse.py
882,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/argparse.py
899,long parameters,11,5,../input_projects/multi_projects/jython/lib-python/2.7/argparse.py
936,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/argparse.py
962,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/argparse.py
1002,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/argparse.py
1033,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/argparse.py
1556,long parameters,13,5,../input_projects/multi_projects/jython/lib-python/2.7/argparse.py
